date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:09:11	57889/57889	---MCZ	200	added ('OK')	text/html	date:Wed,%2018%20Jan%202017%2016:46:38%20GMT	http://diana.html.themeplayers.net/team-member.html	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/team-member.html	(from http://diana.html.themeplayers.net/about-us.html)
07:09:11	13042/13042	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/team-member1.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/team-member1.jpg	(from http://diana.html.themeplayers.net/about-us.html)
07:09:12	13192/13192	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/team-member2.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/team-member2.jpg	(from http://diana.html.themeplayers.net/about-us.html)
07:09:13	14475/14475	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/team-member3.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/team-member3.jpg	(from http://diana.html.themeplayers.net/about-us.html)
07:09:13	13221/13221	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/team-member4.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/team-member4.jpg	(from http://diana.html.themeplayers.net/about-us.html)
07:09:15	16092/16092	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/team-member5.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/team-member5.jpg	(from http://diana.html.themeplayers.net/about-us.html)
07:09:15	15459/15459	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/twitter/js/jquery.tweet.js	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/twitter/js/jquery.tweet.js	(from http://diana.html.themeplayers.net/about-us.html)
07:09:16	27955/27955	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/testimonials-image1.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/testimonials-image1.jpg	(from http://diana.html.themeplayers.net/testimonials.html)
07:09:17	19204/19204	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/testimonials-image2.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/testimonials-image2.jpg	(from http://diana.html.themeplayers.net/testimonials.html)
07:09:18	20362/20362	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/testimonials-image3.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/testimonials-image3.jpg	(from http://diana.html.themeplayers.net/testimonials.html)
07:09:19	1920/1920	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/pricing-chains.png	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/pricing-chains.png	(from http://diana.html.themeplayers.net/pricing.html)
07:09:19	21207/21207	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/testimonials-image4.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/testimonials-image4.jpg	(from http://diana.html.themeplayers.net/testimonials.html)
07:09:19	2376/2376	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/pricing-necklacle.png	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/pricing-necklacle.png	(from http://diana.html.themeplayers.net/pricing.html)
07:09:20	1678/1678	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/pricing-ring2.png	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/pricing-ring2.png	(from http://diana.html.themeplayers.net/pricing.html)
07:09:20	1753/1753	---M--	200	added ('OK')	image/png	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/pricing-ring.png	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/pricing-ring.png	(from http://diana.html.themeplayers.net/pricing.html)
07:09:21	16685/16685	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/services-item1.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/services-item1.jpg	(from http://diana.html.themeplayers.net/our-services.html)
07:09:22	20665/20665	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/services-item2.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/services-item2.jpg	(from http://diana.html.themeplayers.net/our-services.html)
07:09:23	11943/11943	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/team-silver-ring.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/team-silver-ring.jpg	(from http://diana.html.themeplayers.net/our-team.html)
07:09:23	10499/10499	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/product-01.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/product-01.jpg	(from http://diana.html.themeplayers.net/paypal-shop-page.html)
07:09:25	16187/16187	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/product-02.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/product-02.jpg	(from http://diana.html.themeplayers.net/paypal-shop-page.html)
07:09:25	10046/10046	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/product-03.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/product-03.jpg	(from http://diana.html.themeplayers.net/paypal-shop-page.html)
07:09:27	11585/11585	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/js/shop.min.js	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/js/shop.min.js	(from http://diana.html.themeplayers.net/paypal-shop-page.html)
07:09:28	60561/60561	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/product-05.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/product-05.jpg	(from http://diana.html.themeplayers.net/paypal-shop-page.html)
07:09:31	23737/23737	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/single-product-item1.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/single-product-item1.jpg	(from http://diana.html.themeplayers.net/single-product.html)
07:09:34	26172/26172	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Jan%202017%2016:46:36%20GMT	http://diana.html.themeplayers.net/assets/images/demo-content/single-product-item2.jpg	C:/Users/Abu%20Saleh%20Matul/Desktop/daina/daina/diana.html.themeplayers.net/assets/images/demo-content/single-product-item2.jpg	(from http://diana.html.themeplayers.net/single-product.html)
